id,canonical_title,max_word_count,edition_count,present_years,gap_years,1771,1778,1797,1810,1815,1823,1842,1860
BRITAIN,BRITAIN,381204,8,1771|1778|1797|1810|1815|1823|1842|1860,,104,91243,167180,326150,325075,324248,359961,381204
CHEMISTRY,CHEMISTRY,358929,8,1771|1778|1797|1810|1815|1823|1842|1860,,127836,103414,281796,358547,358929,352835,185089,74627
MEDICINE,MEDICINE,320675,8,1771|1778|1797|1810|1815|1823|1842|1860,,118099,314709,5881,26631,320675,2225,19076,23789
AGRICULTURE,AGRICULTURE,296586,8,1771|1778|1797|1810|1815|1823|1842|1860,,31525,56150,93566,144061,291092,296586,136384,164286
FRANCE,FRANCE,271311,8,1771|1778|1797|1810|1815|1823|1842|1860,,124,30315,64037,175375,175315,174745,271311,1904
ENTOMOLOGY,ENTOMOLOGY,268917,6,1797|1810|1815|1823|1842|1860,,,,7956,91987,92477,91469,254388,268917
SCOTLAND,SCOTLAND,220481,8,1771|1778|1797|1810|1815|1823|1842|1860,,181,207850,10167,218570,220481,44232,75195,92730
ASTRONOMY,ASTRONOMY,217374,8,1771|1778|1797|1810|1815|1823|1842|1860,,75395,50241,217374,203751,204739,203142,1890,183451
OPTICS,OPTICS,203466,8,1771|1778|1797|1810|1815|1823|1842|1860,,29715,104915,155302,148020,149476,143753,192911,203466
PHYSIOLOGY,PHYSIOLOGY,194576,8,1771|1778|1797|1810|1815|1823|1842|1860,,53,60,55573,87854,87533,88004,194576,65260
BOTANY,BOTANY,194005,8,1771|1778|1797|1810|1815|1823|1842|1860,,25583,15549,22011,181472,179010,194005,95902,178022
ELECTRICITY,ELECTRICITY,183849,7,1778|1797|1810|1815|1823|1842|1860,,,68106,143997,179343,183849,183788,117761,133726
ANATOMY,ANATOMY,176413,8,1771|1778|1797|1810|1815|1823|1842|1860,,112258,69851,93627,131394,132797,132225,176413,136756
PHARMACY,PHARMACY,174178,5,1771|1778|1797|1810|1860,1815|1823|1842,28,109711,174178,175,,,,16
ENGLAND,ENGLAND,167223,8,1771|1778|1797|1810|1815|1823|1842|1860,,88,82435,94064,95165,93404,94694,47077,167223
FARRIERY,FARRIERY,166930,6,1771|1778|1797|1810|1815|1823,,42122,52240,68304,166421,64368,166930,,
MAMMALIA,MAMMALIA,166827,5,1810|1815|1823|1842|1860,,,,,94898,99133,98529,166827,147742
WAR,WAR,156148,8,1771|1778|1797|1810|1815|1823|1842|1860,,32,156148,121296,47906,48896,47799,17047,36941
ROME,ROME,155560,8,1771|1778|1797|1810|1815|1823|1842|1860,,74,154346,153762,154258,154901,155560,101718,18200
METAPHYSICS,METAPHYSICS,149166,8,1771|1778|1797|1810|1815|1823|1842|1860,,33934,31496,140551,136001,149166,142633,135650,7824
AMERICA,AMERICA,148943,6,1771|1778|1797|1815|1823|1842,1810,276,22658,89418,,110381,148943,59028,
SURGERY,SURGERY,147680,8,1771|1778|1797|1810|1815|1823|1842|1860,,46484,147680,131229,95210,98003,91710,34565,34490
LAW,LAW,145225,8,1771|1778|1797|1810|1815|1823|1842|1860,,85730,143359,143890,111591,145225,141667,27590,52202
HYDRODYNAMICS,HYDRODYNAMICS,135117,5,1810|1815|1823|1842|1860,,,,,90932,91007,93469,84840,135117
MECHANICS,MECHANICS,131749,7,1771|1778|1797|1810|1815|1823|1842,,30124,48167,68745,102676,103186,102592,131749,
ROMANCE,ROMANCE,129553,8,1771|1778|1797|1810|1815|1823|1842|1860,,94,1041,2209,2184,2229,21484,46385,129553
STEAM,STEAM,124336,7,1778|1797|1810|1815|1823|1842|1860,,,11,11431,52231,16354,10064,124336,21882
EGYPT,EGYPT,124041,8,1771|1778|1797|1810|1815|1823|1842|1860,,235,30023,47484,52481,52901,52152,47506,124041
ORNITHOLOGY,ORNITHOLOGY,121009,7,1778|1797|1810|1815|1823|1842|1860,,,5792,6096,17339,108629,106176,24420,121009
ORATORY,ORATORY,116714,6,1778|1797|1810|1815|1823|1842,,,113521,116108,86157,116714,114555,39,
ICHTHYOLOGY,ICHTHYOLOGY,114985,7,1771|1797|1810|1815|1823|1842|1860,1778,16,,4251,47278,47461,47156,83901,114985
SHIP-BUILDING,SHIP-BUILDING,114684,7,1778|1797|1810|1815|1823|1842|1860,,,7963,66920,67794,69126,67432,114684,101609
ROMANS,ROMANS,112764,3,1823|1842|1860,,,,,,,112764,88,2746
HINDUSTAN,HINDUSTAN,111064,4,1797|1810|1842|1860,1815|1823,,,14889,17287,,,111064,69793
MAGNETISM,MAGNETISM,108464,6,1797|1810|1815|1823|1842|1860,,,,50787,36803,39049,42224,2036,108464
PNEUMATICS,PNEUMATICS,100993,8,1771|1778|1797|1810|1815|1823|1842|1860,,22086,8541,100560,100710,100668,100993,83510,74696
ARCHITECTURE,ARCHITECTURE,98276,7,1778|1797|1810|1815|1823|1842|1860,,,22638,44296,25977,44058,44235,71878,98276
PHYSICAL_GEOGRAPHY,PHYSICAL GEOGRAPHY,97768,3,1823|1842|1860,,,,,,,9983,14870,97768
POETRY,POETRY,97236,8,1771|1778|1797|1810|1815|1823|1842|1860,,454,50887,97236,51599,50244,1385,44964,47582
MINERALOGY,MINERALOGY,97093,6,1778|1797|1810|1815|1823|1842,,,44132,81686,97093,84505,96697,94503,
CONCHOLOGY,CONCHOLOGY,96051,4,1810|1815|1823|1842,,,,,2334,86522,96051,2,
POLAR_SEAS,POLAR SEAS,94827,2,1823|1842,,,,,,,94827,13269,
NAVIGATION,NAVIGATION,94110,7,1771|1778|1797|1810|1823|1842|1860,1815,27996,39251,80803,80308,,49338,8737,94110
ALGEBRA,ALGEBRA,93647,8,1771|1778|1797|1810|1815|1823|1842|1860,,40252,16037,34076,69996,68592,72835,93647,91428
IRELAND,IRELAND,91490,8,1771|1778|1797|1810|1815|1823|1842|1860,,114,22603,36286,40190,39980,40166,91490,90532
MONEY,MONEY,91190,8,1771|1778|1797|1810|1815|1823|1842|1860,,15760,22096,25285,25226,25995,26106,36237,91190
PHILOLOGY,PHILOLOGY,89951,7,1771|1778|1797|1810|1815|1823|1860,1842,43,7091,89951,87960,89004,87806,,31327
THEOLOGY,THEOLOGY,89578,6,1797|1810|1815|1823|1842|1860,,,,89578,65146,82037,84468,47330,51965
PHILO,PHILO,89478,7,1778|1797|1810|1815|1823|1842|1860,,,175,729,793,730,793,89478,231
METAPHOR,METAPHOR,88651,7,1778|1797|1810|1815|1823|1842|1860,,,4547,4563,13146,4561,4526,154,88651
MOLLUSCA,MOLLUSCA,87318,5,1810|1815|1823|1842|1860,,,,,29,29,29,64916,87318
RUSSIA,RUSSIA,86158,8,1771|1778|1797|1810|1815|1823|1842|1860,,114,16771,24479,14777,85184,86158,80599,45526
HIEROGLYPHICS,HIEROGLYPHICS,84129,7,1778|1797|1810|1815|1823|1842|1860,,,1932,1550,1450,1371,1949,84129,67973
FISHERIES,FISHERIES,82833,3,1823|1842|1860,,,,,,,21345,23050,82833
PHYSIC,PHYSIC,82813,6,1778|1797|1810|1815|1823|1842,,,32,32,32,32,32,82813,
ASIA,ASIA,82279,7,1778|1797|1810|1815|1823|1842|1860,,,974,1268,82273,81826,82279,40051,38335
LOGIC,LOGIC,82259,8,1771|1778|1797|1810|1815|1823|1842|1860,,21563,6260,10768,34976,24224,32779,22501,82259
GEOLOGY,GEOLOGY,80319,4,1810|1815|1823|1842,,,,,72529,80319,80231,30,
FLUXIONS,FLUXIONS,80262,8,1771|1778|1797|1810|1815|1823|1842|1860,,4559,450,675,72093,72443,71865,80262,6471
LONDON,LONDON,80084,8,1771|1778|1797|1810|1815|1823|1842|1860,,231,22249,43423,44923,45568,43798,80084,26716
GRAMMAR,GRAMMAR,79995,8,1771|1778|1797|1810|1815|1823|1842|1860,,19341,18793,60386,59091,65050,61412,79995,60716
DYEING,DYEING,79386,7,1771|1797|1810|1815|1823|1842|1860,1778,2627,,42209,33130,79386,78170,54038,62256
PAINTING,PAINTING,78993,8,1771|1778|1797|1810|1815|1823|1842|1860,,1579,36616,45036,76102,78993,73892,52731,59903
GARDENING,GARDENING,78597,8,1771|1778|1797|1810|1815|1823|1842|1860,,23434,31282,26153,22414,78597,76683,32621,86
RENNIE,RENNIE,78293,3,1823|1842|1860,,,,,,,4073,4202,78293
AUSTRALASIA,AUSTRALASIA,76269,3,1823|1842|1860,,,,,,,19107,19938,76269
GENUS,GENUS,75310,8,1771|1778|1797|1810|1815|1823|1842|1860,,254,691,1502,396,395,75310,325,140
GEOMETRY,GEOMETRY,74123,8,1771|1778|1797|1810|1815|1823|1842|1860,,8563,386,18549,38274,38139,38030,44498,74123
FLUX,FLUX,73867,8,1771|1778|1797|1810|1815|1823|1842|1860,,35,5359,5456,927,924,925,134,73867
HORTICULTURE,HORTICULTURE,71836,3,1823|1842|1860,,,,,,,132,71836,53532
PROBABILITY,PROBABILITY,68014,8,1771|1778|1797|1810|1815|1823|1842|1860,,103,103,628,710,649,644,66199,68014
METEOROLOGY,METEOROLOGY,67934,6,1797|1810|1815|1823|1842|1860,,,,9128,29997,30866,30187,42314,67934
SPAIN,SPAIN,67700,7,1771|1778|1797|1810|1815|1823|1842,,85,31412,33552,66121,67700,66607,10323,
UTICA,UTICA,67551,5,1778|1797|1810|1815|1823,,,122,99,67551,100,100,,
ABYSSINIA,ABYSSINIA,67172,8,1771|1778|1797|1810|1815|1823|1842|1860,,299,1511,5229,65948,66601,67172,19319,4363
MUSIC,MUSIC,63813,8,1771|1778|1797|1810|1815|1823|1842|1860,,37751,63813,45749,37199,51687,19324,33494,40586
POLITICAL_ECONOMY,POLITICAL ECONOMY,63445,3,1815|1842|1860,1823,,,,,18535,,7823,63445
INDIA,INDIA,63390,7,1771|1797|1810|1815|1823|1842|1860,1778,152,,45248,60372,63390,60709,572,557
MATERIA_MEDICA_AND_PHARMACY,MATERIA MEDICA AND PHARMACY,63361,3,1810|1815|1823,,,,,46080,28734,63361,,
STEAM-ENGINE,STEAM-ENGINE,62211,5,1778|1797|1815|1823|1860,1810|1842,,7998,39059,,29154,41085,,62211
GRANADA,GRANADA,61751,8,1771|1778|1797|1810|1815|1823|1842|1860,,140,748,2749,2746,2752,61751,3751,6340
RIVER,RIVER,60280,8,1771|1778|1797|1810|1815|1823|1842|1860,,89,8593,60280,59418,58921,76,56181,53838
WOLSEY,WOLSEY,60110,7,1778|1797|1810|1815|1823|1842|1860,,,234,410,409,408,409,60110,408
GUNNERY,GUNNERY,59784,8,1771|1778|1797|1810|1815|1823|1842|1860,,8905,16704,47099,46877,48178,4562,59316,59784
BLEACHING,BLEACHING,59523,7,1771|1797|1810|1815|1823|1842|1860,1778,12449,,15331,57644,59523,57559,30661,17588
KITCHEN_GARDEN,KITCHEN GARDEN,59017,4,1810|1823|1842|1860,1815,,,,47,,59017,11348,29997
GEOGRAPHY,GEOGRAPHY,58602,7,1771|1778|1797|1810|1815|1823|1842,,33073,50551,34180,58602,51878,52708,40474,
LANGUAGE,LANGUAGE,58297,8,1771|1778|1797|1810|1815|1823|1842|1860,,18774,28687,34325,34109,34472,34663,38417,58297
ERPETOLOGY,ERPETOLOGY,58063,3,1810|1815|1823,,,,,58063,57937,57021,,
METALLURGY,METALLURGY,57625,6,1778|1797|1810|1815|1823|1842,,,35696,57625,76,77,77,49,
MATERIA_MEDICA,MATERIA MEDICA,57531,6,1778|1797|1810|1815|1823|1860,1842,,18112,22591,45019,57531,24110,,312
HUSBANDRY,HUSBANDRY,57386,3,1797|1815|1842,1810|1823,,,57386,,246,,38,
RIVERS,RIVERS,56977,2,1778|1823,1797|1810|1815,,2986,,,,56977,,
HORSE,HORSE,56659,8,1771|1778|1797|1810|1815|1823|1842|1860,,4986,8012,9678,9950,7679,9914,56659,17913
MICROSCOPE,MICROSCOPE,56423,7,1778|1797|1810|1815|1823|1842|1860,,,102,56423,11964,44022,6910,34358,48358
CHARLES_V,CHARLES V,56106,5,1778|1797|1815|1823|1842,1810,,1539,1549,,3853,56106,1304,
RAILWAYS,RAILWAYS,55447,2,1842|1860,,,,,,,,55447,43287
DYNAMICS,DYNAMICS,55251,6,1797|1810|1815|1823|1842|1860,,,,54611,42718,44101,41549,55251,53574
MEXICO,MEXICO,54892,8,1771|1778|1797|1810|1815|1823|1842|1860,,139,20980,50940,45336,45564,44094,54892,41124
CHINA,CHINA,54471,8,1771|1778|1797|1810|1815|1823|1842|1860,,158,15150,48847,50511,50568,51500,51468,54471
ANNUITIES,ANNUITIES,54228,6,1771|1778|1815|1823|1842|1860,1797|1810,5626,4401,,,1501,54228,36938,28066
ARMY,ARMY,54165,8,1771|1778|1797|1810|1815|1823|1842|1860,,290,552,2941,2821,2823,2826,45985,54165
POLITICAL_ARITHMETIC,POLITICAL ARITHMETIC,53870,2,1842|1860,,,,,,,,53870,210
REVOLUTION,REVOLUTION,53625,6,1771|1797|1810|1815|1823|1842,1778,101,,53625,334,338,98,265,
LIEGNITZ,LIEGNITZ,52448,2,1842|1860,,,,,,,,227,52448
BOSWELL,BOSWELL,51994,4,1797|1823|1842|1860,1810|1815,,,1793,,,51994,3907,1483
FOX,FOX,51851,7,1778|1797|1810|1815|1823|1842|1860,,,828,829,1430,830,51851,13532,13638
MORAL_PHILOSOPHY,MORAL PHILOSOPHY,51566,8,1771|1778|1797|1810|1815|1823|1842|1860,,40509,41225,50798,48010,49961,49613,42124,51566
TAXATION,TAXATION,51357,4,1810|1815|1823|1860,1842,,,,13026,13017,43298,,51357
CLOCKS,CLOCKS,50891,2,1815|1842,1823,,,,,10,,50891,
REPTILIA,REPTILIA,50663,2,1842|1860,,,,,,,,50663,18550
VOLTAIC_ELECTRICITY,VOLTAIC ELECTRICITY,49962,2,1842|1860,,,,,,,,36002,49962
SCRIPTURE,SCRIPTURE,49795,4,1815|1823|1842|1860,,,,,,4015,49795,13993,18152
RHETORIC,RHETORIC,49611,3,1771|1842|1860,1778|1797|1810|1815|1823,200,,,,,,27343,49611
NETHERLANDS,NETHERLANDS,49588,6,1778|1797|1810|1815|1823|1842,,,362,1673,1695,1696,10538,49588,
MIDWIFERY,MIDWIFERY,49436,7,1771|1778|1797|1810|1815|1823|1842,,46396,9413,49436,34885,35442,36150,899,
ANATHEMA,ANATHEMA,49282,8,1771|1778|1797|1810|1815|1823|1842|1860,,49282,284,74,271,74,74,197,197
SCRIBONIUS,SCRIBONIUS,48901,5,1778|1797|1810|1815|1823,,,27,48901,23561,23713,22287,,
DECOMPOSITION,DECOMPOSITION,48878,5,1778|1797|1810|1815|1823,,,149,149,148,149,48878,,
SPA,SPA,48779,8,1771|1778|1797|1810|1815|1823|1842|1860,,158,252,1907,2866,1557,2832,395,48779
MECHANISM,MECHANISM,47885,3,1810|1815|1823,,,,,20,261,47885,,
EDUCATION,EDUCATION,47536,7,1771|1778|1797|1810|1815|1823|1842,,162,161,47478,47453,47536,46634,22683,
PAPER,PAPER,47229,7,1771|1778|1797|1810|1815|1823|1842,,1784,7079,19908,20720,10036,20678,47229,
PRINTING,PRINTING,46814,8,1771|1778|1797|1810|1815|1823|1842|1860,,3761,14826,15697,20581,20729,19365,46814,45772
MESSIER,MESSIER,46498,3,1823|1842|1860,,,,,,,46498,698,375
