id,title,missing_year,classification,confidence,evidence,variant_title,swallowed_by,median_wc,edition_count,present_years
GENUS_IX,GENUS IX,1810,EDITORIAL,0.60,Pattern: early_editions_only,,,103704,2,1797|1823
GENUS_IX,GENUS IX,1815,EDITORIAL,0.60,Pattern: early_editions_only,,,103704,2,1797|1823
WEEK,WEEK,1797,EDITORIAL,0.60,Pattern: early_editions_only,,,88485,5,1771|1778|1810|1815|1823
HUSBANDRY,HUSBANDRY,1810,EDITORIAL,0.60,Pattern: shrinking_to_stub,,,57386,3,1797|1815|1842
HUSBANDRY,HUSBANDRY,1823,EDITORIAL,0.60,Pattern: shrinking_to_stub,,,57386,3,1797|1815|1842
REVOLUTION,REVOLUTION,1778,EDITORIAL,0.60,Pattern: shrinking_to_stub,,,53625,6,1771|1797|1810|1815|1823|1842
BOND,BOND,1842,EDITORIAL,0.60,Pattern: shrinking_to_stub,,,43694,7,1771|1778|1797|1810|1815|1823|1860
EARTH,EARTH,1823,EDITORIAL,0.60,Pattern: shrinking_to_stub,,,37534,6,1771|1778|1797|1810|1815|1842
MEDAL,MEDAL,1797,EDITORIAL,0.60,Pattern: early_editions_only,,,33444,3,1771|1778|1815
MINERAL,MINERAL,1797,EDITORIAL,0.60,Pattern: early_editions_only,,,18379,5,1771|1778|1810|1815|1823
OTAHEITE,OTAHEITE,1823,EDITORIAL,0.60,Pattern: shrinking_to_stub,,,16930,4,1810|1815|1842|1860
ELECTORATE,ELECTORATE,1823,EDITORIAL,0.60,Pattern: shrinking_to_stub,,,15306,6,1771|1778|1797|1810|1815|1842
ELECTROMETER,ELECTROMETER,1810,EDITORIAL,0.60,Pattern: early_editions_only,,,13787,2,1797|1815
FELIS,FELIS,1778,EDITORIAL,0.60,Pattern: shrinking_to_stub,,,13649,6,1771|1797|1810|1815|1823|1860
FELIS,FELIS,1842,EDITORIAL,0.60,Pattern: shrinking_to_stub,,,13649,6,1771|1797|1810|1815|1823|1860
DANCING,DANCING,1815,EDITORIAL,0.60,Pattern: early_editions_only,,,13299,3,1797|1810|1823
DESERT,DESERT,1815,EDITORIAL,0.60,Pattern: shrinking_to_stub,,,11539,3,1810|1842|1860
DESERT,DESERT,1823,EDITORIAL,0.60,Pattern: shrinking_to_stub,,,11539,3,1810|1842|1860
MYTILUS,MYTILUS,1810,EDITORIAL,0.60,Pattern: early_editions_only,,,11138,2,1797|1815
DOMINGO,DOMINGO,1810,EDITORIAL,0.60,Pattern: early_editions_only,,,11099,5,1771|1778|1797|1815|1823
PLANT,PLANT,1823,EDITORIAL,0.60,Pattern: shrinking_to_stub,,,10990,5,1778|1797|1810|1815|1842
BEGGAR,BEGGAR,1797,EDITORIAL,0.60,Pattern: early_editions_only,,,10900,2,1771|1823
BEGGAR,BEGGAR,1810,EDITORIAL,0.60,Pattern: early_editions_only,,,10900,2,1771|1823
BEGGAR,BEGGAR,1815,EDITORIAL,0.60,Pattern: early_editions_only,,,10900,2,1771|1823
ECLIPTIC,ECLIPTIC,1778,EDITORIAL,0.60,Pattern: shrinking_to_stub,,,10077,7,1771|1797|1810|1815|1823|1842|1860
MEDALLIONS,MEDALLIONS,1797,EDITORIAL,0.60,Pattern: early_editions_only,,,9918,3,1771|1778|1823
MEDALLIONS,MEDALLIONS,1810,EDITORIAL,0.60,Pattern: early_editions_only,,,9918,3,1771|1778|1823
ORB,ORB,1810,EDITORIAL,0.60,Pattern: early_editions_only,,,9726,4,1778|1797|1815|1823
IRON,IRON,1823,EDITORIAL,0.60,Pattern: shrinking_to_stub,,,9641,5,1778|1797|1810|1815|1842
EQUUS,EQUUS,1810,EDITORIAL,0.60,Pattern: early_editions_only,,,8821,4,1771|1778|1797|1815
BUCAANEER,BUCAANEER,1797,EDITORIAL,0.60,Pattern: early_editions_only,,,8577,2,1778|1810
PHILEMON,PHILEMON,1810,EDITORIAL,0.60,Pattern: shrinking_to_stub,,,8536,5,1797|1815|1823|1842|1860
DIOPTRICS,DIOPTRICS,1797,EDITORIAL,0.60,Pattern: early_editions_only,,,8427,4,1778|1810|1815|1823
PLOUGH,PLOUGH,1815,EDITORIAL,0.60,Pattern: shrinking_to_stub,,,8142,6,1771|1778|1797|1810|1823|1842
CHINESE,CHINESE,1778,EDITORIAL,0.60,Pattern: early_editions_only,,,8125,2,1771|1810
CHINESE,CHINESE,1797,EDITORIAL,0.60,Pattern: early_editions_only,,,8125,2,1771|1810
FIXED_BODIES,FIXED BODIES,1810,EDITORIAL,0.60,Pattern: shrinking_to_stub,,,8064,4,1778|1797|1823|1842
